Temperature(C)  Ac_Bill
13            33
2             16
14            32
23            51
13            27
13            25
1             16
18            34
7             22
10            17
26            58
3             15
3             15
21            45
22            47
2             13
27            63
6             16
10            21
18            37
15            30
9             26
26            56
8             23
15            39
10            27
21            45
5             17
6             18
13            23
